"Point.Pattern","pID","Condition","Stage","Trial","StimType","Label","MST","Response","Target","MST.LT","Target.LT","Response.LT"
"ANCHOR","18","ARBITRARY","JOIN","40","NOT_CRITICAL","HOURGLASS","[[0110000000][1000001010][1001110000][0010000000][0010000000][0010000000][0100000100][0000001000][0100000001][0000000010]]","[[0110000000][1000001010][1001110000][0010000000][0010000000][0010000000][0100000100][0000001000][0100000001][0000000010]]","[[0110000000][1000001010][1001110000][0010000000][0010000000][0010000000][0100000100][0000001000][0100000001][0000000010]]","N110000000NN00001010NNN1110000NNNN000000NNNNN00000NNNNNN0000NNNNNNN100NNNNNNNN00NNNNNNNNN1NNNNNNNNNN","N110000000NN00001010NNN1110000NNNN000000NNNNN00000NNNNNN0000NNNNNNN100NNNNNNNN00NNNNNNNNN1NNNNNNNNNN","N110000000NN00001010NNN1110000NNNN000000NNNNN00000NNNNNN0000NNNNNNN100NNNNNNNN00NNNNNNNNN1NNNNNNNNNN"
"ANCHOR","18","ARBITRARY","TRAIN2","11","NOT_CRITICAL","HOURGLASS","[[0110000000][1000001010][1001110000][0010000000][0010000000][0010000000][0100000100][0000001000][0100000001][0000000010]]","HOURGLASS","[[0110000000][1000001010][1001110000][0010000000][0010000000][0010000000][0100000100][0000001000][0100000001][0000000010]]","N110000000NN00001010NNN1110000NNNN000000NNNNN00000NNNNNN0000NNNNNNN100NNNNNNNN00NNNNNNNNN1NNNNNNNNNN","N110000000NN00001010NNN1110000NNNN000000NNNNN00000NNNNNN0000NNNNNNN100NNNNNNNN00NNNNNNNNN1NNNNNNNNNN","N"
"ANCHOR","29","ICONIC","TRAIN2","15","NOT_CRITICAL","ANCHOR","[[0110000000][1000001010][1001110000][0010000000][0010000000][0010000000][0100000100][0000001000][0100000001][0000000010]]","ANCHOR","[[0110000000][1000001010][1001110000][0010000000][0010000000][0010000000][0100000100][0000001000][0100000001][0000000010]]","N110000000NN00001010NNN1110000NNNN000000NNNNN00000NNNNNN0000NNNNNNN100NNNNNNNN00NNNNNNNNN1NNNNNNNNNN","N110000000NN00001010NNN1110000NNNN000000NNNNN00000NNNNNN0000NNNNNNN100NNNNNNNN00NNNNNNNNN1NNNNNNNNNN","N"
"ANCHOR","7","ICONIC","JOIN","40","NOT_CRITICAL","ANCHOR","[[0110000000][1000001010][1001110000][0010000000][0010000000][0010000000][0100000100][0000001000][0100000001][0000000010]]","[[0110000000][1000001010][1001000000][0010000000][0000010000][0000100000][0100000100][0000001000][0100000001][0000000010]]","[[0110000000][1000001010][1001110000][0010000000][0010000000][0010000000][0100000100][0000001000][0100000001][0000000010]]","N110000000NN00001010NNN1110000NNNN000000NNNNN00000NNNNNN0000NNNNNNN100NNNNNNNN00NNNNNNNNN1NNNNNNNNNN","N110000000NN00001010NNN1110000NNNN000000NNNNN00000NNNNNN0000NNNNNNN100NNNNNNNN00NNNNNNNNN1NNNNNNNNNN","N110000000NN00001010NNN1000000NNNN000000NNNNN10000NNNNNN0000NNNNNNN100NNNNNNNN00NNNNNNNNN1NNNNNNNNNN"
"ANCHOR","39","ICONIC","TRAIN2","15","NOT_CRITICAL","ANCHOR","[[0110000000][1000001010][1001110000][0010000000][0010000000][0010000000][0100000100][0000001000][0100000001][0000000010]]","ANCHOR","[[0110000000][1000001010][1001110000][0010000000][0010000000][0010000000][0100000100][0000001000][0100000001][0000000010]]","N110000000NN00001010NNN1110000NNNN000000NNNNN00000NNNNNN0000NNNNNNN100NNNNNNNN00NNNNNNNNN1NNNNNNNNNN","N110000000NN00001010NNN1110000NNNN000000NNNNN00000NNNNNN0000NNNNNNN100NNNNNNNN00NNNNNNNNN1NNNNNNNNNN","N"
"ANCHOR","23","ICONIC","TEST","28","NOT_CRITICAL","ANCHOR","[[0110000000][1000001010][1001110000][0010000000][0010000000][0010000000][0100000100][0000001000][0100000001][0000000010]]","ANCHOR","[[0110000000][1000001010][1001110000][0010000000][0010000000][0010000000][0100000100][0000001000][0100000001][0000000010]]","N110000000NN00001010NNN1110000NNNN000000NNNNN00000NNNNNN0000NNNNNNN100NNNNNNNN00NNNNNNNNN1NNNNNNNNNN","N110000000NN00001010NNN1110000NNNN000000NNNNN00000NNNNNN0000NNNNNNN100NNNNNNNN00NNNNNNNNN1NNNNNNNNNN","N"
"ANCHOR","21","ICONIC","TEST","18","NOT_CRITICAL","ANCHOR","[[0110000000][1000001010][1001110000][0010000000][0010000000][0010000000][0100000100][0000001000][0100000001][0000000010]]","ANCHOR","[[0110000000][1000001010][1001110000][0010000000][0010000000][0010000000][0100000100][0000001000][0100000001][0000000010]]","N110000000NN00001010NNN1110000NNNN000000NNNNN00000NNNNNN0000NNNNNNN100NNNNNNNN00NNNNNNNNN1NNNNNNNNNN","N110000000NN00001010NNN1110000NNNN000000NNNNN00000NNNNNN0000NNNNNNN100NNNNNNNN00NNNNNNNNN1NNNNNNNNNN","N"
"ANCHOR","23","ICONIC","TRAIN2","8","NOT_CRITICAL","ANCHOR","[[0110000000][1000001010][1001110000][0010000000][0010000000][0010000000][0100000100][0000001000][0100000001][0000000010]]","ANCHOR","[[0110000000][1000001010][1001110000][0010000000][0010000000][0010000000][0100000100][0000001000][0100000001][0000000010]]","N110000000NN00001010NNN1110000NNNN000000NNNNN00000NNNNNN0000NNNNNNN100NNNNNNNN00NNNNNNNNN1NNNNNNNNNN","N110000000NN00001010NNN1110000NNNN000000NNNNN00000NNNNNN0000NNNNNNN100NNNNNNNN00NNNNNNNNN1NNNNNNNNNN","N"
"ANCHOR","29","ICONIC","TRAIN","7","NOT_CRITICAL","ANCHOR","[[0110000000][1000001010][1001110000][0010000000][0010000000][0010000000][0100000100][0000001000][0100000001][0000000010]]","ANCHOR","[[0110000000][1000001010][1001110000][0010000000][0010000000][0010000000][0100000100][0000001000][0100000001][0000000010]]","N110000000NN00001010NNN1110000NNNN000000NNNNN00000NNNNNN0000NNNNNNN100NNNNNNNN00NNNNNNNNN1NNNNNNNNNN","N110000000NN00001010NNN1110000NNNN000000NNNNN00000NNNNNN0000NNNNNNN100NNNNNNNN00NNNNNNNNN1NNNNNNNNNN","N"
"ANCHOR","23","ICONIC","TRAIN","6","NOT_CRITICAL","ANCHOR","[[0110000000][1000001010][1001110000][0010000000][0010000000][0010000000][0100000100][0000001000][0100000001][0000000010]]","ANCHOR","[[0110000000][1000001010][1001110000][0010000000][0010000000][0010000000][0100000100][0000001000][0100000001][0000000010]]","N110000000NN00001010NNN1110000NNNN000000NNNNN00000NNNNNN0000NNNNNNN100NNNNNNNN00NNNNNNNNN1NNNNNNNNNN","N110000000NN00001010NNN1110000NNNN000000NNNNN00000NNNNNN0000NNNNNNN100NNNNNNNN00NNNNNNNNN1NNNNNNNNNN","N"
